dataset1/CS/cCRE/dataset1_cCRE_CS_cmds-7422231.out:22601.21user 121.47system
dataset1/CS/cCRE/dataset1_cCRE_CS_convMM.out:35.95user 8.25system
dataset1/CS/cCRE/dataset1_cCRE_CS_embeddings.out:11410.96user 12.74system
dataset1/CS/cCRE/dataset1_cCRE_CS_getEmb.out:16.13user 3.17system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_embeddings.out:43.25user 1.88system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_LISImetrics.out:220.57user 1.49system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_NNgraph.out:801.54user 1.95system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_RNAPCAHarmony100_NNmetrics.out:113.28user 1.82system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_RNAPCAHarmony200_NNmetrics.out:131.67user 1.83system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_RNAPCAHarmony50_NNmetrics.out:109.63user 1.91system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_RNASeurat100_NNmetrics.out:113.32user 1.81system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_RNASeurat200_NNmetrics.out:128.91user 1.81system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_RNASeurat50_NNmetrics.out:107.95user 1.97system
dataset1/CS/cCRE/dataset1_cCRE_CS_Harmony_UMAP.out:604.16user 5.25system
dataset1/CS/cCRE/dataset1_cCRE_CS_LISImetrics.out:214.47user 1.45system
dataset1/CS/cCRE/dataset1_cCRE_CS_NNgraph.out:770.67user 1.93system
dataset1/CS/cCRE/dataset1_cCRE_CS_RNAPCAHarmony100_NNmetrics.out:114.84user 1.72system
dataset1/CS/cCRE/dataset1_cCRE_CS_RNAPCAHarmony200_NNmetrics.out:131.61user 1.88system
dataset1/CS/cCRE/dataset1_cCRE_CS_RNAPCAHarmony50_NNmetrics.out:108.88user 1.90system
dataset1/CS/cCRE/dataset1_cCRE_CS_RNASeurat100_NNmetrics.out:114.68user 1.84system
dataset1/CS/cCRE/dataset1_cCRE_CS_RNASeurat200_NNmetrics.out:130.28user 1.88system
dataset1/CS/cCRE/dataset1_cCRE_CS_RNASeurat50_NNmetrics.out:109.26user 1.87system
dataset1/CS/cCRE/dataset1_cCRE_CS_UMAP.out:566.68user 4.86system
dataset1/CS/cCRE/dataset1_cCRE_CS_varPeaks.out:6502.37user 56.07system
dataset1/CS/peak/dataset1_peak_CS_cmds-7422230.out:11822.74user 95.27system
dataset1/CS/peak/dataset1_peak_CS_convMM.out:27.72user 6.83system
dataset1/CS/peak/dataset1_peak_CS_embeddings.out:8142.24user 17.93system
dataset1/CS/peak/dataset1_peak_CS_getEmb.out:11.90user 1.67system
dataset1/CS/peak/dataset1_peak_CS_Harmony_embeddings.out:29.67user 1.11system
dataset1/CS/peak/dataset1_peak_CS_Harmony_LISImetrics.out:81.95user 0.68system
dataset1/CS/peak/dataset1_peak_CS_Harmony_NNgraph.out:304.85user 1.02system
dataset1/CS/peak/dataset1_peak_CS_Harmony_RNAPCAHarmony100_NNmetrics.out:73.77user 0.91system
dataset1/CS/peak/dataset1_peak_CS_Harmony_RNAPCAHarmony200_NNmetrics.out:83.38user 0.90system
dataset1/CS/peak/dataset1_peak_CS_Harmony_RNAPCAHarmony50_NNmetrics.out:70.15user 0.98system
dataset1/CS/peak/dataset1_peak_CS_Harmony_RNASeurat100_NNmetrics.out:73.28user 0.83system
dataset1/CS/peak/dataset1_peak_CS_Harmony_RNASeurat200_NNmetrics.out:84.39user 0.90system
dataset1/CS/peak/dataset1_peak_CS_Harmony_RNASeurat50_NNmetrics.out:70.32user 0.96system
dataset1/CS/peak/dataset1_peak_CS_Harmony_UMAP.out:443.14user 3.23system
dataset1/CS/peak/dataset1_peak_CS_LISImetrics.out:81.72user 0.66system
dataset1/CS/peak/dataset1_peak_CS_NNgraph.out:308.43user 1.03system
dataset1/CS/peak/dataset1_peak_CS_RNAPCAHarmony100_NNmetrics.out:73.45user 0.90system
dataset1/CS/peak/dataset1_peak_CS_RNAPCAHarmony200_NNmetrics.out:83.80user 0.93system
dataset1/CS/peak/dataset1_peak_CS_RNAPCAHarmony50_NNmetrics.out:70.58user 1.03system
dataset1/CS/peak/dataset1_peak_CS_RNASeurat100_NNmetrics.out:72.89user 0.92system
dataset1/CS/peak/dataset1_peak_CS_RNASeurat200_NNmetrics.out:84.18user 0.94system
dataset1/CS/peak/dataset1_peak_CS_RNASeurat50_NNmetrics.out:72.13user 0.99system
dataset1/CS/peak/dataset1_peak_CS_UMAP.out:396.19user 3.20system
dataset1/CS/peak/dataset1_peak_CS_varPeaks.out:1082.46user 46.57system
dataset1/CS/tile/dataset1_tile_CS_cmds-7422232.out:51012.48user 380.32system
dataset1/CS/tile/dataset1_tile_CS_convMM.out:64.49user 12.86system
dataset1/CS/tile/dataset1_tile_CS_embeddings.out:8678.18user 19.21system
dataset1/CS/tile/dataset1_tile_CS_getEmb.out:13.82user 2.75system
dataset1/CS/tile/dataset1_tile_CS_Harmony_embeddings.out:38.63user 2.07system
dataset1/CS/tile/dataset1_tile_CS_Harmony_LISImetrics.out:199.15user 1.26system
dataset1/CS/tile/dataset1_tile_CS_Harmony_NNgraph.out:705.14user 1.89system
dataset1/CS/tile/dataset1_tile_CS_Harmony_RNAPCAHarmony100_NNmetrics.out:92.72user 1.47system
dataset1/CS/tile/dataset1_tile_CS_Harmony_RNAPCAHarmony200_NNmetrics.out:109.07user 1.62system
dataset1/CS/tile/dataset1_tile_CS_Harmony_RNAPCAHarmony50_NNmetrics.out:89.01user 1.61system
dataset1/CS/tile/dataset1_tile_CS_Harmony_RNASeurat100_NNmetrics.out:93.60user 1.46system
dataset1/CS/tile/dataset1_tile_CS_Harmony_RNASeurat200_NNmetrics.out:107.30user 1.55system
dataset1/CS/tile/dataset1_tile_CS_Harmony_RNASeurat50_NNmetrics.out:88.60user 1.50system
dataset1/CS/tile/dataset1_tile_CS_Harmony_UMAP.out:518.22user 4.53system
dataset1/CS/tile/dataset1_tile_CS_LISImetrics.out:188.59user 1.25system
dataset1/CS/tile/dataset1_tile_CS_NNgraph.out:692.83user 1.82system
dataset1/CS/tile/dataset1_tile_CS_RNAPCAHarmony100_NNmetrics.out:93.99user 1.45system
dataset1/CS/tile/dataset1_tile_CS_RNAPCAHarmony200_NNmetrics.out:107.58user 1.54system
dataset1/CS/tile/dataset1_tile_CS_RNAPCAHarmony50_NNmetrics.out:88.95user 1.66system
dataset1/CS/tile/dataset1_tile_CS_RNASeurat100_NNmetrics.out:93.27user 1.45system
dataset1/CS/tile/dataset1_tile_CS_RNASeurat200_NNmetrics.out:108.06user 1.47system
dataset1/CS/tile/dataset1_tile_CS_RNASeurat50_NNmetrics.out:89.06user 1.74system
dataset1/CS/tile/dataset1_tile_CS_UMAP.out:486.41user 4.19system
dataset1/CS/tile/dataset1_tile_CS_varPeaks.out:38265.67user 309.77system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_cmds-7421850.out:3363.60user 130.95system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_embeddings.out:414.63user 86.87system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_embeddings.out:26.46user 3.30system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_LISImetrics.out:52.10user 1.54system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_NNgraph.out:225.85user 2.07system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_RNAPCAHarmony100_NNmetrics.out:108.39user 1.71system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_RNAPCAHarmony200_NNmetrics.out:127.13user 1.96system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_RNAPCAHarmony50_NNmetrics.out:104.91user 1.94system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_RNASeurat100_NNmetrics.out:111.27user 1.68system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_RNASeurat200_NNmetrics.out:126.67user 1.96system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_RNASeurat50_NNmetrics.out:103.74user 1.90system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_Harmony_UMAP.out:500.43user 4.76system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_LISImetrics.out:47.95user 1.51system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_NNgraph.out:218.09user 2.07system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_reformatArchR.out:3.49user 1.33system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_RNAPCAHarmony100_NNmetrics.out:110.71user 1.80system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_RNAPCAHarmony200_NNmetrics.out:127.80user 2.00system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_RNAPCAHarmony50_NNmetrics.out:103.37user 1.86system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_RNASeurat100_NNmetrics.out:109.53user 1.81system
dataset1/itLSI/archrGAS/dataset1_archrGAS_itLSI_RNASeurat200_NNmetrics.out:127.65user 1.93system
